Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,summary,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ETLSDJ8G,journalArticle,2007,"Goldhaber, Dan; Anthony, Emily",Can Teacher Quality Be Effectively Assessed? National Board Certification as a Signal of Effective Teaching,The Review of Economics and Statistics,,0034-6535,10.1162/rest.89.1.134,https://doi.org/10.1162/rest.89.1.134,"In this paper, we describe the results of a study assessing the relationship between the certification of teachers by the National Board for Professional Teaching Standards (NBPTS) and elementary-level student achievement. We examine whether NBPTS assesses the most effective applicants, whether certification by NBPTS serves as a signal of teacher quality, and whether completing the NBPTS assessment process serves as a catalyst for increasing teacher effectiveness. We find consistent evidence that NBPTS is identifying the more effective teacher applicants and that National Board Certified Teachers are generally more effective than teachers who never applied to the program. The statistical significance and magnitude of the “NBPTS effect,” however, differs significantly by grade level and student type. We do not find evidence that the NBPTS certification process itself does anything to increase teacher effectiveness.",2/1/2007,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 0:52,134-150,,1,89,,The Review of Economics and Statistics,Can Teacher Quality Be Effectively Assessed?,,,,,,,,,,,,Silverchair,,,,/Users/nicolapoppy/Zotero/storage/UU7Q2MNX/Goldhaber_Anthony_2007_Can Teacher Quality Be Effectively Assessed.pdf; /Users/nicolapoppy/Zotero/storage/ATG2R2F4/Can-Teacher-Quality-Be-Effectively-Assessed.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLDIYWHZ,journalArticle,2012,"Gibson, Suanne",Narrative accounts of university education: socio-cultural perspectives of students with disabilities,Disability & Society,,0968-7599,10.1080/09687599.2012.654987,https://doi.org/10.1080/09687599.2012.654987,"Research in higher education, linked to national and international policy, suggests the need for educationalists to show greater understanding and awareness of the lived experiences of undergraduate students with disabilities. These sources argue that this knowledge should then be used to inform their understandings as tutors and facilitate inclusive and effective teaching strategies. This research had a primary focus on first-year students with disabilities’ learning experiences; their transitions from school or college to university and their feedback on positive and negative learning experiences at both levels. Rich, complex stories were uncovered taking the research beyond the lecture theatre and seminar room, into the students’ union bar and back to the Year 10 classroom. It is the intention of this paper to relay some of the stories shared, in particular drawing out findings related to effective learning practices and to note the significance of placing a socio-cultural lens on the question of inclusion in education.",5/1/2012,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 16:18,353-369,,3,27,,,Narrative accounts of university education,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/09687599.2012.654987,,/Users/nicolapoppy/Zotero/storage/PGMG58W4/Gibson - 2012 - Narrative accounts of university education socio-.pdf; /Users/nicolapoppy/Zotero/storage/YMKVXPSK/09687599.2012.html,,,higher education; inclusion; access; disability; socio-cultural theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGLDJRMI,journalArticle,2016,"Gershenson, Seth","Linking Teacher Quality, Student Attendance, and Student Achievement",Education Finance and Policy,,1557-3060,10.1162/EDFP_a_00180,https://doi.org/10.1162/EDFP_a_00180,"Research on the effectiveness of educational inputs, particularly research on teacher effectiveness, typically overlooks teachers’ potential impact on behavioral outcomes, such as student attendance. Using longitudinal data on teachers and students in North Carolina I estimate teacher effects on primary school student absences in a value-added framework. The analysis yields two main findings: First, teachers have arguably causal, statistically significant effects on student absences that persist over time. Second, teachers who improve test scores do not necessarily improve student attendance, suggesting that effective teaching is multidimensional and teachers who are effective in one domain are not necessarily effective in others.",4/1/2016,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 21:34,125-149,,2,11,,Education Finance and Policy,,,,,,,,,,,,,Silverchair,,,,"/Users/nicolapoppy/Zotero/storage/TLMVDDHQ/Gershenson - 2016 - Linking Teacher Quality, Student Attendance, and S.pdf; /Users/nicolapoppy/Zotero/storage/I5D797JT/Linking-Teacher-Quality-Student-Attendance-and.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9XDSRFBB,journalArticle,2012,"Galbraith, Craig S.; Merrill, Gregory B.; Kline, Doug M.",Are Student Evaluations of Teaching Effectiveness Valid for Measuring Student Learning Outcomes in Business Related Classes? A Neural Network and Bayesian Analyses,Research in Higher Education,,1573-188X,10.1007/s11162-011-9229-0,https://doi.org/10.1007/s11162-011-9229-0,"In this study we investigate the underlying relational structure between student evaluations of teaching effectiveness (SETEs) and achievement of student learning outcomes in 116 business related courses. Utilizing traditional statistical techniques, a neural network analysis and a Bayesian data reduction and classification algorithm, we find little or no support for the validity of SETEs as a general indicator of teaching effectiveness or student learning. In fact, the underlying structure appears to be non-linear and possibly negatively bimodal where the most effective instructors are within the middle percentiles of student course ratings, while instructors receiving ratings in the top quintile or the bottom quintile are associated with significantly lower levels of student achievement.",5/1/2012,7/2/2022 18:17,7/2/2022 18:17,5/20/2022 0:14,353-374,,3,53,,Res High Educ,Are Student Evaluations of Teaching Effectiveness Valid for Measuring Student Learning Outcomes in Business Related Classes?,,,,,,,en,,,,,Springer Link,,,,/Users/nicolapoppy/Zotero/storage/U8UI2TZ8/Galbraith et al_2012_Are Student Evaluations of Teaching Effectiveness Valid for Measuring Student.pdf,,,Bayesian data reduction; Learning outcomes; Neural network; Student evaluation of teaching; Validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIKPLD6J,journalArticle,2001,"Furney, Scott L.; Orsini, Alex N.; Orsetti, Kym E.; Stern, David T.; Gruppen, Larry D.; Irby, David M.",Teaching the One-minute Preceptor,Journal of General Internal Medicine,,1525-1497,10.1046/j.1525-1497.2001.016009620.x,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1525-1497.2001.016009620.x,"OBJECTIVE: The One-Minute Preceptor (OMP) model of faculty development is used widely to improve teaching, but its effect on teaching behavior has not been assessed. We aim to evaluate the effect of this intervention on residents' teaching skills. DESIGN: Randomized controlled trial. SETTING: Inpatient teaching services at both a tertiary care hospital and a Veterans Administration Medical Center affiliated with a University Medical Center. PARTICIPANTS: Participants included 57 second- and third-year internal medicine residents that were randomized to the intervention group (n = 28) or to the control group (n = 29). INTERVENTION: The intervention was a 1-hour session incorporating lecture, group discussion, and role-play. MEASUREMENTS AND MAIN RESULTS: Primary outcome measures were resident self-report and learner ratings of resident performance of the OMP teaching behaviors. Residents assigned to the intervention group reported statistically significant changes in all behaviors (P < .05). Eighty-seven percent of residents rated the intervention as “useful or very useful” on a 1–5 point scale with a mean of 4.28. Student ratings of teacher performance showed improvements in all skills except “Teaching General Rules.” Learners of the residents in the intervention group reported increased motivation to do outside reading when compared to learners of the control residents. Ratings of overall teaching effectiveness were not significantly different between the 2 groups. CONCLUSIONS: The OMP model is a brief and easy-to-administer intervention that provides modest improvements in residents' teaching skills.",2001,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 1:15,620-624,,9,16,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1046/j.1525-1497.2001.016009620.x,,/Users/nicolapoppy/Zotero/storage/UCLZW53C/Furney et al_2001_Teaching the One-minute Preceptor.pdf; /Users/nicolapoppy/Zotero/storage/74YQ7L7X/j.1525-1497.2001.016009620.html,,,educational models; feedback; internship and residency; medical education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K23YZE2I,journalArticle,2014,"Fryer, Roland G., Jr.",Injecting Charter School Best Practices into Traditional Public Schools: Evidence from Field Experiments *,The Quarterly Journal of Economics,,0033-5533,10.1093/qje/qju011,https://doi.org/10.1093/qje/qju011,"This study examines the impact on student achievement of implementing a bundle of best practices from high-performing charter schools into low-performing, traditional public schools in Houston, Texas, using a school-level randomized field experiment and quasi-experimental comparisons. The five practices in the bundle are increased instructional time, more effective teachers and administrators, high-dosage tutoring, data-driven instruction, and a culture of high expectations. The findings show that injecting best practices from charter schools into traditional Houston public schools significantly increases student math achievement in treated elementary and secondary schools—by 0.15 to 0.18 standard deviations a year—and has little effect on reading achievement. Similar bundles of practices are found to significantly raise math achievement in analyses for public schools in a field experiment in Denver and program in Chicago.",8/1/2014,7/2/2022 18:17,7/2/2022 18:17,5/20/2022 0:54,1355-1407,,3,129,,The Quarterly Journal of Economics,Injecting Charter School Best Practices into Traditional Public Schools,,,,,,,,,,,,Silverchair,,,,/Users/nicolapoppy/Zotero/storage/NM8QJ9IJ/Fryer_2014_Injecting Charter School Best Practices into Traditional Public Schools.pdf; /Users/nicolapoppy/Zotero/storage/NPA7I5UQ/1817328.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRDIDTP2,journalArticle,2014,"Finelli, Cynthia J.; Daly, Shanna R.; Richardson, Kenyon M.",Bridging the Research-to-Practice Gap: Designing an Institutional Change Plan Using Local Evidence,Journal of Engineering Education,,2168-9830,10.1002/jee.20042,https://onlinelibrary.wiley.com/doi/abs/10.1002/jee.20042,"Background Ample research provides evidence about the influence of effective teaching practices on student success. Yet the adoption of such practices has been slow at many institutions. Efforts to bridge the gap between research and practice are needed. Purpose We describe an institutional change plan we developed to bridge this research-to- practice gap. Our plan is grounded in research and theories about faculty motivation and organizational change, and we designed it using local evidence from the University of Michigan College of Engineering. Design/Method We collected local data from three sources to provide context for our institutional change plan. First, faculty focus groups allowed us to determine factors that influence faculty adoption of effective teaching practices. Second, classroom observations allowed us to ascertain current teaching practices. Third, a student survey allowed us to identify teaching practices perceived by students to enhance their success. We used this local evidence with a “who/what/how” decision-making process to design our change plan. Results Our institutional change plan for accelerating the adoption of effective teaching practices comprises a faculty action plan and an administrative change plan. Although still evolving, there is evidence of the success of both parts. Conclusions Local evidence is critical in our change plan. Change agents wishing to bridge the research-to-practice gap at their own institutions can design a plan that adapts our process and integrates relevant research and theory with their own local data.",2014,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 23:28,331-361,,2,103,,,Bridging the Research-to-Practice Gap,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/jee.20042,,/Users/nicolapoppy/Zotero/storage/S5MIL4FK/Finelli et al. - 2014 - Bridging the Research-to-Practice Gap Designing a.pdf,,,effective teaching practices; expectancy value theory; faculty development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEF5P7N9,journalArticle,2015,"Figlio, David N.; Schapiro, Morton O.; Soter, Kevin B.",Are Tenure Track Professors Better Teachers?,The Review of Economics and Statistics,,0034-6535,10.1162/REST_a_00529,https://doi.org/10.1162/REST_a_00529,This study makes use of detailed student-level data from eight cohorts of first-year students at Northwestern University to investigate the relative effects of tenure track/tenured versus contingent faculty on student learning. We focus on classes taken during a student’s first term at Northwestern and employ an identification strategy in which we control for both student-level fixed effects and next-class-taken fixed effects to measure the degree to which contingent faculty contribute more or less to lasting student learning than do other faculty. We find consistent evidence that students learn relatively more from contingent faculty in their firstterm courses. This result is driven by the fact that the bottom quarter of tenure track/tenured faculty (as indicted by our measure of teaching effectiveness) has lower “value added” than their contingent counterparts. Differences between contingent and tenure track/tenured faculty are present across a wide variety of subject areas and are particularly pronounced for Northwestern’s averages and less-qualified students.,10/1/2015,7/2/2022 18:17,7/2/2022 18:17,5/20/2022 0:56,715-724,,4,97,,The Review of Economics and Statistics,,,,,,,,,,,,,Silverchair,,,,/Users/nicolapoppy/Zotero/storage/R6IPZWZF/Figlio et al_2015_Are Tenure Track Professors Better Teachers.pdf; /Users/nicolapoppy/Zotero/storage/E7JGIQJ7/Are-Tenure-Track-Professors-Better-Teachers.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N47HPHLY,journalArticle,2017,"Feng, Li; Sass, Tim R.",Teacher Quality and Teacher Mobility,Education Finance and Policy,,1557-3060,10.1162/EDFP_a_00214,https://doi.org/10.1162/EDFP_a_00214,"There is growing concern among policy makers over the quality of the teacher workforce in general, and the distribution of effective teachers across schools. The impact of teacher attrition on overall teacher quality will depend on the effectiveness of teachers who leave the profession. Likewise, teacher turnover may alleviate or worsen inequities in the distribution of teachers, depending on which teachers change schools or leave teaching and who replaces them. Using matched student–teacher panel data from the state of Florida, we examine teacher mobility across the distribution of effectiveness (as measured by teacher value added). We find that top-quartile and bottom-quartile teachers exit at a higher rate than do average-quality teachers. Additionally, as the share of peer teachers with more experience, advanced degrees, or professional certification increases, the likelihood of moving within-district decreases. We also find some evidence of assortative matching among teachers—more productive reading/language arts teachers are more likely to stay in teaching if they have more productive peer teachers.",7/1/2017,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 21:35,396-418,,3,12,,Education Finance and Policy,,,,,,,,,,,,,Silverchair,,,,/Users/nicolapoppy/Zotero/storage/59NFDKNF/Feng and Sass - 2017 - Teacher Quality and Teacher Mobility.pdf; /Users/nicolapoppy/Zotero/storage/S64Y766X/Teacher-Quality-and-Teacher-Mobility.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYGLWAX4,journalArticle,2018,"Feo, Rebecca; Conroy, Tiffany; Jangland, Eva; Muntlin Athlin, Åsa; Brovall, Maria; Parr, Jenny; Blomberg, Karin; Kitson, Alison",Towards a standardised definition for fundamental care: A modified Delphi study,Journal of Clinical Nursing,,1365-2702,10.1111/jocn.14247,https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.14247,"Aims and objectives To generate a standardised definition for fundamental care and identify the discrete elements that constitute such care. Background There is poor conceptual clarity surrounding fundamental care. The Fundamentals of Care Framework aims to overcome this problem by outlining three core dimensions underpinning such care. Implementing the Framework requires a standardised definition for fundamental care that reflects the Framework's conceptual understanding, as well as agreement on the elements that comprise such care (i.e., patient needs, such as nutrition, and nurse actions, such as empathy). This study sought to achieve this consensus. Design Modified Delphi study. Methods Three phases: (i) engaging stakeholders via an interactive workshop; (ii) using workshop findings to develop a preliminary definition for, and identify the discrete elements that constitute, fundamental care; and (iii) gaining consensus on the definition and elements via a two-round Delphi approach (Round 1 n = 38; Round 2 n = 28). Results Delphi participants perceived both the definition and elements generated from the workshop as comprehensive, but beyond the scope of fundamental care. Participants questioned whether the definition should focus on patient needs and nurse actions, or more broadly on how fundamental care should be delivered (e.g., through a trusting nurse–patient relationship), and the outcomes of this care delivery. There were also mixed opinions whether the definition should be nursing specific. Conclusions This study has initiated crucial dialogue around how fundamental care is conceptualised and defined. Future work should focus on further refinements of the definition and elements with a larger, international group of practising nurses and service users. Relevance to clinical practice The definition and elements, through ongoing refinement, will contribute to a robust evidence base that will underpin policy development and the systematic and effective teaching, delivery, measurement and evaluation of fundamental care.",2018,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 23:24,2285-2299,,12-Nov,27,,,Towards a standardised definition for fundamental care,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/jocn.14247,,/Users/nicolapoppy/Zotero/storage/B6AEMNWB/Feo et al. - 2018 - Towards a standardised definition for fundamental .pdf,,,basic nursing care; definition; Delphi study; fundamental care; fundamentals of care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUF3SF2U,journalArticle,2012,"Evgeniou, Evgenios; Loizou, Peter",The Theoretical Base of E-Learning and Its Role in Surgical Education,Journal of Surgical Education,,1931-7204,10.1016/j.jsurg.2012.06.005,https://www.sciencedirect.com/science/article/pii/S1931720412001584,"Introduction The advances in Internet and computer technology offer many solutions that can enhance surgical education and increase the effectiveness of surgical teaching. E-learning plays an important role in surgical education today, with many e-learning projects already available on the Internet. Educational Theory E-learning is based on a mixture of educational theories that derive from behaviorist, cognitivist, and constructivist educational theoretical frameworks. Can Educational Theory Improve E-Learning? Conventional educational theory can be applied to improve the quality and effectiveness of e-learning. The theory of “threshold concepts” and educational theories on reflection, motivation, and communities of practice can be applied when designing e-learning material. E-Learning in Surgical Education E-learning has many advantages but also has weaknesses. Studies have shown that e-learning is an effective teaching method that offers high levels of learner satisfaction. Instead of trying to compare e-learning with traditional methods of teaching, it is better to integrate in e-learning elements of traditional teaching that have been proven to be effective. Conclusions E-learning can play an important role in surgical education as a blended approach, combined with more traditional methods of teaching, which offer better face-to-interaction with patients and colleagues in different circumstances and hands on practice of practical skills. National provision of e-learning can make evaluation easier. The correct utilization of Internet and computer resources combined with the application of valid conventional educational theory to design e-learning relevant to the various levels of surgical training can be effective in the training of future surgeons.",9/1/2012,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 23:51,665-669,,5,69,,Journal of Surgical Education,,,,,,,,en,,,,,ScienceDirect,,,,/Users/nicolapoppy/Zotero/storage/WY92CBUX/Evgeniou and Loizou - 2012 - The Theoretical Base of E-Learning and Its Role in.pdf; /Users/nicolapoppy/Zotero/storage/9DKY5SEE/S1931720412001584.html,,,e-learning; educational theory; Medical Knowledge; Practice Based Learning; surgical education; Systems Based Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQYQQEQP,journalArticle,2004,"Esquembre, Francisco",Easy Java Simulations: a software tool to create scientific simulations in Java,Computer Physics Communications,,0010-4655,10.1016/S0010-4655(03)00440-5,https://www.sciencedirect.com/science/article/pii/S0010465503004405,"We introduce Easy Java Simulations, Ejs, a tool created by science teachers to help teach and learn science. Ejs allows users to create simulations using their knowledge of the scientific model. The author needs to supply a small amount of code for the model; the tool provides a graphical drag-and-drop interface to build the program. The resulting Ejs generated program is an independent, high quality Java application or applet ready to be published on a Web server. Ejs can serve as an effective teaching and learning tool if used in an appropriate pedagogical setting; for instance, to help students create their own simulations in order to express their conceptions on how a given scientific process works. The Ejs program and documentation can be freely downloaded from the site http://fem.um.es/Ejs.",1/1/2004,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 0:15,199-204,,2,156,,Computer Physics Communications,Easy Java Simulations,,,,,,,en,,,,,ScienceDirect,,,,/Users/nicolapoppy/Zotero/storage/V33IMPWS/S0010465503004405.htm; /Users/nicolapoppy/Zotero/storage/DYFX5TCM/S0010465503004405.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFDGMKCS,journalArticle,2012,"Eisenberg, Nancy; Sulik, Michael J.",Emotion-Related Self-Regulation in Children,Teaching of Psychology,,0098-6283,10.1177/0098628311430172,https://doi.org/10.1177/0098628311430172,"In this article, the authors review basic conceptual issues in research on children’s emotion-related self-regulation, including the differentiation between self-regulation that is effortful and voluntary and control-related processes that are less amenable to effortful control. In addition, the authors summarize what researchers know about developmental changes in self-regulatory capacities, give examples of various methods used to assess these abilities, and summarize findings on the relations between self-regulation or effortful control and positive adjustment and maladjustment. Finally, the authors discuss some strategies for effectively teaching students about emotion regulation.",1/1/2012,7/2/2022 18:17,7/2/2022 18:17,5/1/2022 13:18,77-83,,1,39,,Teaching of Psychology,,,,,,,,en,,,,,SAGE Journals,,Publisher: SAGE Publications Inc,,/Users/nicolapoppy/Zotero/storage/H82H5S6B/Eisenberg_Sulik_2012_Emotion-Related Self-Regulation in Children.pdf,,,emotion; effortful control; self-regulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQ45VID9,journalArticle,2013,"Espelage, Dorothy; Anderman, Eric M.; Brown, Veda Evanell; Jones, Abraham; Lane, Kathleen Lynne; McMahon, Susan D.; Reddy, Linda A.; Reynolds, Cecil R.","Understanding and preventing violence directed against teachers: Recommendations for a national research, practice, and policy agenda",American Psychologist,,1935-990X,10.1037/a0031307,,"Violence directed against K–12 teachers is a serious problem that demands the immediate attention of researchers, providers of teacher pre-service and in-service training, school administrators, community leaders, and policymakers. Surprisingly, little research has been conducted on this growing problem despite the broad impact teacher victimization can have on schooling, recruitment, and retention of highly effective teachers and on student academic and behavioral outcomes. Psychologists should play a leadership role in mitigating school violence, including violence directed toward teachers. There is a need for psychologists to conduct research accurately assessing the types and scope of violence that teachers experience; to comprehensively evaluate the individual, classroom, school, community, institutional, and cultural contextual factors that might predict and/or explain types of teacher violence; and to examine the effectiveness and sustainability of classroom, school, and district-wide prevention and intervention strategies that target teacher violence in school systems. Collectively, the work of psychologists in this area could have a substantial impact on schooling, teacher experience and retention, and overall student performance. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",2013,7/2/2022 18:17,7/2/2022 18:17,,75-87,,2,68,,,Understanding and preventing violence directed against teachers,,,,,,,,,,,,APA PsycNet,,Place: US Publisher: American Psychological Association,,/Users/nicolapoppy/Zotero/storage/26PUAJIV/2013-00026-001.html,,,Schools; Teachers; Prevention; School Based Intervention; School Violence; Teacher Education; Violence; Violence Prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJJEPLAI,journalArticle,2017,"Ennis, Catherine D.","Educating Students for a Lifetime of Physical Activity: Enhancing Mindfulness, Motivation, and Meaning",Research Quarterly for Exercise and Sport,,0270-1367,10.1080/02701367.2017.1342495,https://doi.org/10.1080/02701367.2017.1342495,"For many years, pedagogical scholars and physical education (PE) teachers have worked to enhance effective teaching and learning environments. Yet for some children, youth, and young adults, many of the benefits associated with a physically active lifestyle remain elusive. Enhancing programming and performance to meet physical activity goals may require moving programs beyond “effective.” It will require teachers and program leaders to focus programmatic attention on strategies to actually increase students’ out-of-class physical activity behavior. Transformative PE provides physical activity content within a nurturing and motivating environment that can change students’ lives. It focuses on PE students’ role in cognitive decision making, self-motivation, and their search for personal meaning that can add connection and relevance to physical activities. In this SHAPE America – Society of Health and Physical Educators Research Quarterly for Exercise and Sport Lecture, I have synthesized the research on these topics to emphasize useful findings applicable to teachers’ everyday planning and teaching. Using sport, physical activity, dance, and adventure activities as the means to an end for personal and social growth, we can meet our commitment to effective standards-based education while preparing students for a lifetime of physical activity.",7/3/2017,7/2/2022 18:17,7/2/2022 18:17,5/20/2022 0:22,241-250,,3,88,,,Educating Students for a Lifetime of Physical Activity,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/02701367.2017.1342495 PMID: 28742426,,/Users/nicolapoppy/Zotero/storage/QATDLWH7/Ennis_2017_Educating Students for a Lifetime of Physical Activity.pdf,,,Cognition; personal meaning; physical education; self-determination theory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ZH2WYI7,journalArticle,2010,"Downer, Jason; Sabol, Terri J.; Hamre, Bridget",Teacher–Child Interactions in the Classroom: Toward a Theory of Within- and Cross-Domain Links to Children's Developmental Outcomes,Early Education and Development,,1040-9289,10.1080/10409289.2010.497453,https://doi.org/10.1080/10409289.2010.497453,"Research Findings: Effective teaching in early childhood (EC) care and education settings requires skillful combinations of explicit instruction, sensitive and warm interactions, responsive feedback, and verbal engagement intentionally directed to ensure children's learning and embedded within a classroom environment that is not overly structured or regimented. These aspects of instruction and interaction uniquely predict gains in young children's literacy, language, and social development, effectively contributing to closing gaps in performance between low- and high-risk children. Less clear is an articulation of the ways in which various types of teacher–child interactions within EC settings independently and in combination contribute to children's development. Practice or Policy: In this article, we argue that conceptualizing this system of contextual inputs and developmental outputs in a purely aligned way (e.g., social inputs ⇉ social development; instructional inputs ⇉ academic development) constrains understanding of both the pathways through which educational experience may influence development as well as the basic processes that may integrate developmental change in what appear to be phenotypically different outcome domains (e.g., social, self-regulatory, academic).",10/7/2010,7/2/2022 18:17,7/2/2022 18:17,6/14/2022 1:22,699-723,,5,21,,,Teacher–Child Interactions in the Classroom,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Routledge _eprint: https://doi.org/10.1080/10409289.2010.497453,,/Users/nicolapoppy/Zotero/storage/ENY6GVPU/Downer et al_2010_Teacher–Child Interactions in the Classroom.pdf; /Users/nicolapoppy/Zotero/storage/QE4NCGQN/10409289.2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEVRVWTY,journalArticle,2012,"Downar, James; Knickle, Kerry; Granton, John T.; Hawryluck, Laura",Using standardized family members to teach communication skills and ethical principles to critical care trainees*,Critical Care Medicine,,0090-3493,10.1097/CCM.0b013e31824e0fb7,https://journals.lww.com/ccmjournal/fulltext/2012/06000/Using_standardized_family_members_to_teach.17.aspx?casa_token=UzGGjnDTpy0AAAAA:pasdbVNnd4TZ735Gwe9jCm6N1fxu0FocKPVNyCSNZtyiyNXhhU7oJ3oZ0HOtthiKsqxIu4Xco1a8Zsw9cQF1Nqrr,"Objective:          We sought to determine the effectiveness of standardized family members for improving communication skills and ethical and legal knowledge of senior intensive care unit trainees.         Design:          Multimodal evaluation of mixed-methods educational intervention.         Setting:          Postgraduate critical care medicine academic program.         Subjects:          Postgraduate subspecialty critical care medicine trainees.         Intervention:          Communication workshop featuring a short didactic session and four simulated family meetings using trained professionals as standardized family members.         Measurements:          Ethical and legal knowledge and comfort with communication (before and after the workshop) and communication skill (during the workshop).         Main Results:          Fifty-one postgraduate critical care medicine subspecialty trainees participated in the workshop over a 5-yr period. Ethical and legal knowledge and comfort scores improved significantly among trainees who participated in the workshop. Ninety percent of trainees felt that the workshop had met or exceeded their expectations and would recommend it to other trainees. Ninety-eight percent of trainees felt that the workshop had met the highest priority learning objectives they identified. Communication scores showed a trend towards improvement over the course of the workshop, although the improvements were not significant. Participants reflecting on the workshop >1 yr later overwhelmingly felt that it had prepared them for real communication challenges in training and practice.         Conclusions:          This workshop was effective for improving ethical and legal knowledge and comfort with communication among critical care medicine trainees. Participants overwhelmingly felt that it had met their learning needs and that it was an effective teaching tool that had prepared them for real communication challenges in training and practice. It could be used in a variety of contexts to address an often-neglected area of education.",2012-06,7/2/2022 18:17,7/2/2022 18:17,5/19/2022 16:16,1814–1819,,6,40,,,,,,,,,,en-US,,,,,journals.lww.com,,,,/Users/nicolapoppy/Zotero/storage/QK82YIQE/Downar et al. - 2012 - Using standardized family members to teach communi.pdf; /Users/nicolapoppy/Zotero/storage/4NTV6UD5/Using_standardized_family_members_to_teach.17.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
